

2019-04-06 00:28:12.506639
sparsity scale set to 200

7, 96.636, 0.849, 68.920, 13.858
8, 96.534, 0.800, 70.440, 13.047
9, 96.886, 0.824, 69.980, 13.453
10, 97.131, 0.875, 68.570, 14.280
11, 96.801, 0.868, 68.460, 14.170
12, 97.055, 0.885, 68.180, 14.437
13, 96.721, 0.812, 70.210, 13.256
14, 97.050, 0.879, 68.350, 14.350
15, 96.523, 0.890, 67.460, 14.531
16, 96.774, 0.840, 69.350, 13.712
17, 95.062, 0.916, 65.180, 14.941
18, 96.604, 0.785, 70.980, 12.812
19, 96.241, 0.771, 71.090, 12.576
20, 95.823, 0.752, 71.290, 12.266
21, 95.687, 0.731, 71.840, 11.923
22, 96.718, 0.819, 70.000, 13.359
23, 93.771, 0.653, 72.450, 10.661
24, 97.090, 0.873, 68.600, 14.245
25, 63.120, 0.990, 30.810, 16.155
26, 97.065, 0.875, 68.520, 14.272
27, 96.911, 0.792, 71.060, 12.925
28, 96.830, 0.845, 69.260, 13.785
29, 96.424, 0.778, 71.040, 12.692
30, 96.557, 0.806, 70.240, 13.158
31, 96.987, 0.835, 69.750, 13.618
32, 96.084, 0.761, 71.240, 12.422
33, 96.328, 0.858, 68.340, 13.994
34, 95.560, 0.741, 71.390, 12.085
35, 97.086, 0.877, 68.460, 14.313
36, 96.844, 0.795, 70.890, 12.977
37, 96.954, 0.882, 68.160, 14.397
38, 95.961, 0.906, 66.390, 14.785
39, 96.882, 0.871, 68.460, 14.211
40, 96.822, 0.863, 68.650, 14.086
1, 73.859, 0.100, 73.590, 0.134
2, 74.376, 0.300, 73.560, 0.408
3, 74.180, 0.500, 72.820, 0.680
4, 72.964, 0.700, 71.060, 0.952
5, 49.228, 0.900, 46.780, 1.224
6, 74.323, 0.296, 73.520, 0.401
7, 74.352, 0.476, 73.060, 0.646
8, 74.395, 0.352, 73.440, 0.478
9, 74.544, 0.414, 73.420, 0.562
10, 74.064, 0.164, 73.620, 0.222
11, 73.425, 0.610, 71.770, 0.827
12, 73.969, 0.217, 73.380, 0.295
13, 74.175, 0.440, 72.980, 0.597
14, 74.399, 0.387, 73.350, 0.525
